,home_team,away_team,home_score,away_score,home_penalty,away_penalty,total_goals,Winner,Stage,Year,Date,Host,Venue,Attendance,h_red_card_count,a_red_card_count,h_yellow_red_card_count,a_yellow_red_card_count,h_yellow_card_long_count,a_yellow_card_long_count
43,Argentina,Mexico,2,0,,,2,Argentina,Fase de Grupos,2022,2022-11-26,Qatar,"Lusail Iconic Stadium, Lusail",88966,0,0,0,0,1,4
44,Wales,IR Iran,0,2,,,2,IR Iran,Fase de Grupos,2022,2022-11-25,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",40875,1,0,0,0,1,2
45,Qatar,Senegal,1,3,,,4,Senegal,Fase de Grupos,2022,2022-11-25,Qatar,"Al Thumama Stadium, ath-Thumāma",41797,0,0,0,0,3,3
46,Netherlands,Ecuador,1,1,,,2,Draw,Fase de Grupos,2022,2022-11-25,Qatar,"Khalifa International Stadium, Doha",44833,0,0,0,0,0,1
47,England,United States,0,0,,,0,Draw,Fase de Grupos,2022,2022-11-25,Qatar,"Al Bayt Stadium, Al Khor",68463,0,0,0,0,0,0
48,Switzerland,Cameroon,1,0,,,1,Switzerland,Fase de Grupos,2022,2022-11-24,Qatar,"Al Janoub Stadium, Al Wakrah",39089,0,0,0,0,2,1
49,Uruguay,Korea Republic,0,0,,,0,Draw,Fase de Grupos,2022,2022-11-24,Qatar,"Education City Stadium, Doha",41663,0,0,0,0,1,2
50,Portugal,Ghana,3,2,,,5,Portugal,Fase de Grupos,2022,2022-11-24,Qatar,"Stadium 974, Doha",42662,0,0,0,0,2,4
51,Brazil,Serbia,2,0,,,2,Brazil,Fase de Grupos,2022,2022-11-24,Qatar,"Lusail Iconic Stadium, Lusail",88103,0,0,0,0,0,3
52,Morocco,Croatia,0,0,,,0,Draw,Fase de Grupos,2022,2022-11-23,Qatar,"Al Bayt Stadium, Al Khor",59407,0,0,0,0,1,0
53,Germany,Japan,1,2,,,3,Japan,Fase de Grupos,2022,2022-11-23,Qatar,"Khalifa International Stadium, Doha",42608,0,0,0,0,0,0
54,Spain,Costa Rica,7,0,,,7,Spain,Fase de Grupos,2022,2022-11-23,Qatar,"Al Thumama Stadium, ath-Thumāma",40013,0,0,0,0,0,2
55,Belgium,Canada,1,0,,,1,Belgium,Fase de Grupos,2022,2022-11-23,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",40432,0,0,0,0,3,2
56,Argentina,Saudi Arabia,1,2,,,3,Saudi Arabia,Fase de Grupos,2022,2022-11-22,Qatar,"Lusail Iconic Stadium, Lusail",88012,0,0,0,0,0,6
57,Denmark,Tunisia,0,0,,,0,Draw,Fase de Grupos,2022,2022-11-22,Qatar,"Education City Stadium, Doha",42925,0,0,0,0,2,1
58,Mexico,Poland,0,0,,,0,Draw,Fase de Grupos,2022,2022-11-22,Qatar,"Stadium 974, Doha",39369,0,0,0,0,2,1
59,France,Australia,4,1,,,5,France,Fase de Grupos,2022,2022-11-22,Qatar,"Al Janoub Stadium, Al Wakrah",40875,0,0,0,0,0,3
60,England,IR Iran,6,2,,,8,England,Fase de Grupos,2022,2022-11-21,Qatar,"Khalifa International Stadium, Doha",45334,0,0,0,0,0,2
61,Senegal,Netherlands,0,2,,,2,Netherlands,Fase de Grupos,2022,2022-11-21,Qatar,"Al Thumama Stadium, ath-Thumāma",41721,0,0,0,0,2,1
62,United States,Wales,1,1,,,2,Draw,Fase de Grupos,2022,2022-11-21,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",43418,0,0,0,0,4,2
63,Qatar,Ecuador,0,2,,,2,Ecuador,Fase de Grupos,2022,2022-11-20,Qatar,"Al Bayt Stadium, Al Khor",67372,0,0,0,0,4,2
64,France,Croatia,4,2,,,6,France,Final,2018,2018-07-15,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0,2,1
65,Belgium,England,2,0,,,2,Belgium,Terceiro Lugar,2018,2018-07-14,Russia,"Gazprom Arena, Sankt-Petersburg",64406,0,0,0,0,1,2
66,Croatia,England,2,1,,,3,Croatia,Semi-finais,2018,2018-07-11,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0,2,1
67,France,Belgium,1,0,,,1,France,Semi-finais,2018,2018-07-10,Russia,"Gazprom Arena, Sankt-Petersburg",64286,0,0,0,0,2,3
68,Sweden,England,0,2,,,2,England,Quartas de Final,2018,2018-07-07,Russia,"Cosmos Arena, Samara",39991,0,0,0,0,2,1
69,Russia,Croatia,2,2,3.0,4.0,4,Croatia,Quartas de Final,2018,2018-07-07,Russia,"Olimpiyskiy Stadion Fisht, Sochi",44287,0,0,0,0,1,4
70,Uruguay,France,0,2,,,2,France,Quartas de Final,2018,2018-07-06,Russia,"Stadion Nizhny Novgorod, Nizhny Novgorod",43319,0,0,0,0,2,2
71,Brazil,Belgium,1,2,,,3,Belgium,Quartas de Final,2018,2018-07-06,Russia,"Kazan Arena, Kazan",42873,0,0,0,0,2,2
72,Sweden,Switzerland,1,0,,,1,Sweden,Oitavas de Final,2018,2018-07-03,Russia,"Gazprom Arena, Sankt-Petersburg",64042,0,1,0,0,1,2
73,Colombia,England,1,1,3.0,4.0,2,England,Oitavas de Final,2018,2018-07-03,Russia,"Otkrytie Arena, Moskva",44190,0,0,0,0,6,2
74,Brazil,Mexico,2,0,,,2,Brazil,Oitavas de Final,2018,2018-07-02,Russia,"Cosmos Arena, Samara",41970,0,0,0,0,2,4
75,Belgium,Japan,3,2,,,5,Belgium,Oitavas de Final,2018,2018-07-02,Russia,"Rostov Arena, Rostov-na-Donu",41466,0,0,0,0,0,1
76,Spain,Russia,1,1,3.0,4.0,2,Russia,Oitavas de Final,2018,2018-07-01,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0,1,2
77,Croatia,Denmark,1,1,3.0,2.0,2,Croatia,Oitavas de Final,2018,2018-07-01,Russia,"Stadion Nizhny Novgorod, Nizhny Novgorod",40851,0,0,0,0,0,1
78,France,Argentina,4,3,,,7,France,Oitavas de Final,2018,2018-06-30,Russia,"Kazan Arena, Kazan",42873,0,0,0,0,3,5
79,Uruguay,Portugal,2,1,,,3,Uruguay,Oitavas de Final,2018,2018-06-30,Russia,"Olimpiyskiy Stadion Fisht, Sochi",44287,0,0,0,0,0,1
80,Japan,Poland,0,1,,,1,Poland,Fase de Grupos,2018,2018-06-28,Russia,"Volgograd Arena, Volgograd",42189,0,0,0,0,1,0
81,Senegal,Colombia,0,1,,,1,Colombia,Fase de Grupos,2018,2018-06-28,Russia,"Cosmos Arena, Samara",41970,0,0,0,0,1,1
82,England,Belgium,0,1,,,1,Belgium,Fase de Grupos,2018,2018-06-28,Russia,"Kaliningrad Stadium, Kaliningrad",33973,0,0,0,0,0,2
83,Panama,Tunisia,1,2,,,3,Tunisia,Fase de Grupos,2018,2018-06-28,Russia,"Mordovia Arena, Saransk",37168,0,0,0,0,3,3
84,Korea Republic,Germany,2,0,,,2,Korea Republic,Fase de Grupos,2018,2018-06-27,Russia,"Kazan Arena, Kazan",41835,0,0,0,0,4,0
85,Mexico,Sweden,0,3,,,3,Sweden,Fase de Grupos,2018,2018-06-27,Russia,"Stadion Central'nyj, Yekaterinburg",33061,0,0,0,0,3,2
86,Switzerland,Costa Rica,2,2,,,4,Draw,Fase de Grupos,2018,2018-06-27,Russia,"Stadion Nizhny Novgorod, Nizhny Novgorod",43319,0,0,0,0,3,3
87,Serbia,Brazil,0,2,,,2,Brazil,Fase de Grupos,2018,2018-06-27,Russia,"Otkrytie Arena, Moskva",44190,0,0,0,0,3,0
88,Australia,Peru,0,2,,,2,Peru,Fase de Grupos,2018,2018-06-26,Russia,"Olimpiyskiy Stadion Fisht, Sochi",44073,0,0,0,0,4,2
