home_team,away_team,home_score,away_score,home_penalty,away_penalty,total_goals,Winner,Stage,Year,Date,Host,Venue,Attendance,home_red_cards,away_red_cards,home_yellow_red_cards,away_yellow_red_cards
Belgium,Panama,3,0,,,3,Belgium,Fase de Grupos,2018,2018-06-18,Russia,"Olimpiyskiy Stadion Fisht, Sochi",43257,0,0,0,0
Tunisia,England,1,2,,,3,England,Fase de Grupos,2018,2018-06-18,Russia,"Volgograd Arena, Volgograd",41064,0,0,0,0
Costa Rica,Serbia,0,1,,,1,Serbia,Fase de Grupos,2018,2018-06-17,Russia,"Cosmos Arena, Samara",41432,0,0,0,0
Germany,Mexico,0,1,,,1,Mexico,Fase de Grupos,2018,2018-06-17,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0
Brazil,Switzerland,1,1,,,2,Draw,Fase de Grupos,2018,2018-06-17,Russia,"Rostov Arena, Rostov-na-Donu",43109,0,0,0,0
France,Australia,2,1,,,3,France,Fase de Grupos,2018,2018-06-16,Russia,"Kazan Arena, Kazan",41279,0,0,0,0
Argentina,Iceland,1,1,,,2,Draw,Fase de Grupos,2018,2018-06-16,Russia,"Otkrytie Arena, Moskva",44190,0,0,0,0
Peru,Denmark,0,1,,,1,Denmark,Fase de Grupos,2018,2018-06-16,Russia,"Mordovia Arena, Saransk",40502,0,0,0,0
Croatia,Nigeria,2,0,,,2,Croatia,Fase de Grupos,2018,2018-06-16,Russia,"Kaliningrad Stadium, Kaliningrad",31136,0,0,0,0
Egypt,Uruguay,0,1,,,1,Uruguay,Fase de Grupos,2018,2018-06-15,Russia,"Stadion Central'nyj, Yekaterinburg",27015,0,0,0,0
Morocco,IR Iran,0,1,,,1,IR Iran,Fase de Grupos,2018,2018-06-15,Russia,"Gazprom Arena, Sankt-Petersburg",62548,0,0,0,0
Portugal,Spain,3,3,,,6,Draw,Fase de Grupos,2018,2018-06-15,Russia,"Olimpiyskiy Stadion Fisht, Sochi",43866,0,0,0,0
Russia,Saudi Arabia,5,0,,,5,Russia,Fase de Grupos,2018,2018-06-14,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0
Germany,Argentina,1,0,,,1,Germany,Final,2014,2014-07-13,Brazil,"Estadio Jornalista Mário Filho, Rio de Janeiro",74738,0,0,0,0
Brazil,Netherlands,0,3,,,3,Netherlands,Terceiro Lugar,2014,2014-07-12,Brazil,"Estádio Nacional de Brasília, Brasília",68034,0,0,0,0
Netherlands,Argentina,0,0,2.0,4.0,0,Argentina,Semi-finais,2014,2014-07-09,Brazil,"Arena Corinthians, São Paulo",63267,0,0,0,0
Brazil,Germany,1,7,,,8,Germany,Semi-finais,2014,2014-07-08,Brazil,"Estádio Governador Magalhães Pinto, Belo Horizonte",58141,0,0,0,0
Argentina,Belgium,1,0,,,1,Argentina,Quartas de Final,2014,2014-07-05,Brazil,"Estádio Nacional de Brasília, Brasília",68551,0,0,0,0
Netherlands,Costa Rica,0,0,4.0,3.0,0,Netherlands,Quartas de Final,2014,2014-07-05,Brazil,"Itaipava Arena Fonte Nova, Salvador",51179,0,0,0,0
France,Germany,0,1,,,1,Germany,Quartas de Final,2014,2014-07-04,Brazil,"Estadio Jornalista Mário Filho, Rio de Janeiro",74240,0,0,0,0
Brazil,Colombia,2,1,,,3,Brazil,Quartas de Final,2014,2014-07-04,Brazil,"Estádio Castelão, Fortaleza",60342,0,0,0,0
Argentina,Switzerland,1,0,,,1,Argentina,Oitavas de Final,2014,2014-07-01,Brazil,"Arena Corinthians, São Paulo",63255,0,0,0,0
Belgium,United States,2,1,,,3,Belgium,Oitavas de Final,2014,2014-07-01,Brazil,"Itaipava Arena Fonte Nova, Salvador",51227,0,0,0,0
France,Nigeria,2,0,,,2,France,Oitavas de Final,2014,2014-06-30,Brazil,"Estádio Nacional de Brasília, Brasília",67882,0,0,0,0
Germany,Algeria,2,1,,,3,Germany,Oitavas de Final,2014,2014-06-30,Brazil,"Estádio José Pinheiro Borba, Porto Alegre",43063,0,0,0,0
Netherlands,Mexico,2,1,,,3,Netherlands,Oitavas de Final,2014,2014-06-29,Brazil,"Estádio Castelão, Fortaleza",58817,0,0,0,0
Costa Rica,Greece,1,1,5.0,3.0,2,Costa Rica,Oitavas de Final,2014,2014-06-29,Brazil,"Itaipava Arena Pernambuco, Recife",41242,0,0,1,0
Brazil,Chile,1,1,3.0,2.0,2,Brazil,Oitavas de Final,2014,2014-06-28,Brazil,"Estádio Governador Magalhães Pinto, Belo Horizonte",57714,0,0,0,0
Colombia,Uruguay,2,0,,,2,Colombia,Oitavas de Final,2014,2014-06-28,Brazil,"Estadio Jornalista Mário Filho, Rio de Janeiro",73804,0,0,0,0
United States,Germany,0,1,,,1,Germany,Fase de Grupos,2014,2014-06-26,Brazil,"Itaipava Arena Pernambuco, Recife",41876,0,0,0,0
Portugal,Ghana,2,1,,,3,Portugal,Fase de Grupos,2014,2014-06-26,Brazil,"Estádio Nacional de Brasília, Brasília",67540,0,0,0,0
Korea Republic,Belgium,0,1,,,1,Belgium,Fase de Grupos,2014,2014-06-26,Brazil,"Arena Corinthians, São Paulo",61397,0,1,0,0
Algeria,Russia,1,1,,,2,Draw,Fase de Grupos,2014,2014-06-26,Brazil,"Estádio Joaquim Américo Guimarães, Curitiba",39311,0,0,0,0
Bosnia and Herzegovina,IR Iran,3,1,,,4,Bosnia and Herzegovina,Fase de Grupos,2014,2014-06-25,Brazil,"Itaipava Arena Fonte Nova, Salvador",48011,0,0,0,0
Nigeria,Argentina,2,3,,,5,Argentina,Fase de Grupos,2014,2014-06-25,Brazil,"Estádio José Pinheiro Borba, Porto Alegre",43285,0,0,0,0
Honduras,Switzerland,0,3,,,3,Switzerland,Fase de Grupos,2014,2014-06-25,Brazil,"Arena da Amazônia, Manaus",40322,0,0,0,0
Ecuador,France,0,0,,,0,Draw,Fase de Grupos,2014,2014-06-25,Brazil,"Estadio Jornalista Mário Filho, Rio de Janeiro",73749,1,0,0,0
Costa Rica,England,0,0,,,0,Draw,Fase de Grupos,2014,2014-06-24,Brazil,"Estádio Governador Magalhães Pinto, Belo Horizonte",57823,0,0,0,0
Italy,Uruguay,0,1,,,1,Uruguay,Fase de Grupos,2014,2014-06-24,Brazil,"Arena das Dunas, Natal",39706,1,0,0,0
Japan,Colombia,1,4,,,5,Colombia,Fase de Grupos,2014,2014-06-24,Brazil,"Arena Pantanal, Cuiabá",40340,0,0,0,0
Greece,Côte d'Ivoire,2,1,,,3,Greece,Fase de Grupos,2014,2014-06-24,Brazil,"Estádio Castelão, Fortaleza",59095,0,0,0,0
Australia,Spain,0,3,,,3,Spain,Fase de Grupos,2014,2014-06-23,Brazil,"Estádio Joaquim Américo Guimarães, Curitiba",39375,0,0,0,0
Netherlands,Chile,2,0,,,2,Netherlands,Fase de Grupos,2014,2014-06-23,Brazil,"Arena Corinthians, São Paulo",62996,0,0,0,0
Croatia,Mexico,1,3,,,4,Mexico,Fase de Grupos,2014,2014-06-23,Brazil,"Itaipava Arena Pernambuco, Recife",41212,1,0,0,0
Cameroon,Brazil,1,4,,,5,Brazil,Fase de Grupos,2014,2014-06-23,Brazil,"Estádio Nacional de Brasília, Brasília",69112,0,0,0,0
Belgium,Russia,1,0,,,1,Belgium,Fase de Grupos,2014,2014-06-22,Brazil,"Estadio Jornalista Mário Filho, Rio de Janeiro",73819,0,0,0,0
Korea Republic,Algeria,2,4,,,6,Algeria,Fase de Grupos,2014,2014-06-22,Brazil,"Estádio José Pinheiro Borba, Porto Alegre",42732,0,0,0,0
United States,Portugal,2,2,,,4,Draw,Fase de Grupos,2014,2014-06-22,Brazil,"Arena da Amazônia, Manaus",40123,0,0,0,0
Argentina,IR Iran,1,0,,,1,Argentina,Fase de Grupos,2014,2014-06-21,Brazil,"Estádio Governador Magalhães Pinto, Belo Horizonte",57698,0,0,0,0
Germany,Ghana,2,2,,,4,Draw,Fase de Grupos,2014,2014-06-21,Brazil,"Estádio Castelão, Fortaleza",59621,0,0,0,0
Nigeria,Bosnia and Herzegovina,1,0,,,1,Nigeria,Fase de Grupos,2014,2014-06-21,Brazil,"Arena Pantanal, Cuiabá",40499,0,0,0,0
Italy,Costa Rica,0,1,,,1,Costa Rica,Fase de Grupos,2014,2014-06-20,Brazil,"Itaipava Arena Pernambuco, Recife",40285,0,0,0,0
Switzerland,France,2,5,,,7,France,Fase de Grupos,2014,2014-06-20,Brazil,"Itaipava Arena Fonte Nova, Salvador",51003,0,0,0,0
Honduras,Ecuador,1,2,,,3,Ecuador,Fase de Grupos,2014,2014-06-20,Brazil,"Estádio Joaquim Américo Guimarães, Curitiba",39224,0,0,0,0
Colombia,Côte d'Ivoire,2,1,,,3,Colombia,Fase de Grupos,2014,2014-06-19,Brazil,"Estádio Nacional de Brasília, Brasília",68748,0,0,0,0
Uruguay,England,2,1,,,3,Uruguay,Fase de Grupos,2014,2014-06-19,Brazil,"Arena Corinthians, São Paulo",62575,0,0,0,0
Japan,Greece,0,0,,,0,Draw,Fase de Grupos,2014,2014-06-19,Brazil,"Arena das Dunas, Natal",39485,0,0,0,1
