Team,Year,Stage,Era,matches_played,wins,draws,losses,goals_scored,goals_conceded,win_rate,goal_difference,avg_goals_scored,avg_goals_conceded,is_champion_year
Uruguay,1970,Terceiro Lugar,Classic Era,1,0,0,1,0,1,0.0,-1,0.0,1.0,0
Uruguay,1974,Fase de Grupos,Modern Era,3,0,1,2,1,6,0.0,-5,0.3333333333333333,2.0,0
Uruguay,1986,Fase de Grupos,Modern Era,3,0,2,1,2,7,0.0,-5,0.6666666666666666,2.3333333333333335,0
Uruguay,1986,Oitavas de Final,Modern Era,1,0,0,1,0,1,0.0,-1,0.0,1.0,0
Uruguay,1990,Fase de Grupos,Modern Era,3,1,1,1,2,3,0.3333333333333333,-1,0.6666666666666666,1.0,0
Uruguay,1990,Oitavas de Final,Modern Era,1,0,0,1,0,2,0.0,-2,0.0,2.0,0
Uruguay,2002,Fase de Grupos,Modern Era,3,0,2,1,4,5,0.0,-1,1.3333333333333333,1.6666666666666667,0
Uruguay,2010,Fase de Grupos,Contemporary Era,3,2,1,0,4,0,0.6666666666666666,4,1.3333333333333333,0.0,0
Uruguay,2010,Oitavas de Final,Contemporary Era,1,1,0,0,2,1,1.0,1,2.0,1.0,0
Uruguay,2010,Quartas de Final,Contemporary Era,1,1,0,0,1,1,1.0,0,1.0,1.0,0
Uruguay,2010,Semi-finais,Contemporary Era,1,0,0,1,2,3,0.0,-1,2.0,3.0,0
Uruguay,2010,Terceiro Lugar,Contemporary Era,1,0,0,1,2,3,0.0,-1,2.0,3.0,0
Uruguay,2014,Fase de Grupos,Contemporary Era,3,2,0,1,4,4,0.6666666666666666,0,1.3333333333333333,1.3333333333333333,0
Uruguay,2014,Oitavas de Final,Contemporary Era,1,0,0,1,0,2,0.0,-2,0.0,2.0,0
Uruguay,2018,Fase de Grupos,Contemporary Era,3,3,0,0,5,0,1.0,5,1.6666666666666667,0.0,0
Uruguay,2018,Oitavas de Final,Contemporary Era,1,1,0,0,2,1,1.0,1,2.0,1.0,0
Uruguay,2018,Quartas de Final,Contemporary Era,1,0,0,1,0,2,0.0,-2,0.0,2.0,0
Uruguay,2022,Fase de Grupos,Contemporary Era,3,1,1,1,2,2,0.3333333333333333,0,0.6666666666666666,0.6666666666666666,0
Wales,1958,Fase de Grupos,Classic Era,4,1,3,0,4,3,0.25,1,1.0,0.75,0
Wales,1958,Quartas de Final,Classic Era,1,0,0,1,0,1,0.0,-1,0.0,1.0,0
Wales,2022,Fase de Grupos,Contemporary Era,3,0,1,2,1,6,0.0,-5,0.3333333333333333,2.0,0
Zaire,1974,Fase de Grupos,Modern Era,3,0,0,3,0,14,0.0,-14,0.0,4.666666666666667,0
