Team,titles,is_champion,cluster,pca1,pca2,champion_probability,team_profile,win_rate,avg_goals_scored,avg_goals_conceded,knockout_win_rate
Honduras,0,0,3,-1.7451181508477789,-0.9362675910080314,0.482,Strong Nations,0.0,0.3333333333333333,1.5555555555555556,0.0
Hungary,0,0,0,3.0393122703297863,1.1658820204832965,0.134,World Cup Champions,0.46875,2.71875,1.78125,0.5454545454545454
IR Iran,0,0,3,-0.9392464967548075,-0.5518106774604445,0.61,Strong Nations,0.16666666666666666,0.7222222222222222,1.7222222222222223,0.0
Iceland,0,0,3,-1.4550219788319922,-0.7141822000475886,0.442,Strong Nations,0.0,0.6666666666666666,1.6666666666666667,0.0
Iraq,0,0,3,-1.6584955354649038,-1.1463520414794388,0.459,Strong Nations,0.0,0.3333333333333333,1.3333333333333333,0.0
Israel,0,0,3,-1.5285616123905914,-1.4614787171865502,0.417,Strong Nations,0.0,0.3333333333333333,1.0,0.0
Italy,4,1,0,2.84976242753634,0.2792870413265951,0.859,World Cup Champions,0.5542168674698795,1.5421686746987953,0.927710843373494,0.7419354838709677
Jamaica,0,0,3,-0.6776237461452856,0.8440540998692669,0.41,Strong Nations,0.3333333333333333,1.0,3.0,0.0
Japan,0,0,3,-0.17695300509502762,-0.7730941747127613,0.578,Strong Nations,0.28,1.0,1.32,0.0
Korea DPR,0,0,3,-1.3712134918922287,0.6906433537794237,0.54,Strong Nations,0.14285714285714285,0.8571428571428571,3.0,0.0
Korea Republic,0,0,1,0.054227126126578075,0.3782204570360951,0.732,Elite Contenders,0.21052631578947367,1.0263157894736843,2.0526315789473686,0.3333333333333333
Kuwait,0,0,3,-1.5849559019063046,-0.39905552434047736,0.465,Strong Nations,0.0,0.6666666666666666,2.0,0.0
Mexico,0,0,3,-0.06821283264576757,-0.2699595244851784,0.692,Strong Nations,0.2833333333333333,1.0333333333333334,1.6833333333333333,0.1
Morocco,0,0,1,0.5237791795885239,-0.3828296239538065,0.723,Elite Contenders,0.2608695652173913,0.8695652173913043,1.173913043478261,0.4
Netherlands,0,0,1,2.477391870052698,-0.04743137437742511,0.907,Elite Contenders,0.5636363636363636,1.7454545454545454,0.9454545454545454,0.45454545454545453
New Zealand,0,0,3,-1.7148898249806173,-0.0839288486333659,0.477,Strong Nations,0.0,0.6666666666666666,2.3333333333333335,0.0
Nigeria,0,0,3,-0.10749403534670994,-0.6339145284519996,0.574,Strong Nations,0.2857142857142857,1.0952380952380953,1.4285714285714286,0.0
Northern Ireland,0,0,3,-0.4943989364175877,-0.37508637393042754,0.597,Strong Nations,0.23076923076923078,1.0,1.7692307692307692,0.0
Norway,0,0,3,-0.2639796239088027,-1.1357687493610957,0.567,Strong Nations,0.25,0.875,1.0,0.0
Panama,0,0,2,-2.2346255172778675,1.1765778541950789,0.416,Emerging Teams,0.0,0.6666666666666666,3.6666666666666665,0.0
Paraguay,0,0,3,0.36200704687940943,-0.3503422244443175,0.776,Strong Nations,0.2962962962962963,1.1111111111111112,1.4074074074074074,0.2
Peru,0,0,3,-0.2167723497443682,-0.2304820874705317,0.563,Strong Nations,0.2777777777777778,1.1666666666666667,1.8333333333333333,0.0
Poland,0,0,1,1.289418914335282,-0.09759038877537997,0.844,Elite Contenders,0.4473684210526316,1.2894736842105263,1.3157894736842106,0.3333333333333333
Portugal,0,0,1,2.244027236955838,0.1385369536086855,0.937,Elite Contenders,0.5142857142857142,1.7428571428571429,1.1714285714285715,0.45454545454545453
Qatar,0,0,3,-2.0482973046878414,-0.20097201435810486,0.527,Strong Nations,0.0,0.3333333333333333,2.3333333333333335,0.0
Republic of Ireland,0,0,1,0.18305761037304485,-1.0361578029632394,0.656,Elite Contenders,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.25
Romania,0,0,1,0.7604115023851643,-0.16644562810600705,0.663,Elite Contenders,0.38095238095238093,1.4285714285714286,1.5238095238095237,0.14285714285714285
Russia,0,0,1,1.517397846205371,-0.2229637342357537,0.663,Elite Contenders,0.4444444444444444,1.711111111111111,1.2,0.2222222222222222
Saudi Arabia,0,0,3,-1.029190815231986,0.03824394944852353,0.587,Strong Nations,0.21052631578947367,0.7368421052631579,2.3157894736842106,0.0
Scotland,0,0,3,-0.5770192453434794,-0.36272557448070275,0.545,Strong Nations,0.17391304347826086,1.0869565217391304,1.7826086956521738,0.0
Senegal,0,0,1,1.205201933406676,-0.0034648601047846477,0.889,Elite Contenders,0.4166666666666667,1.3333333333333333,1.4166666666666667,0.3333333333333333
Serbia,0,0,1,1.1034533077490043,-0.20669606541279534,0.737,Elite Contenders,0.391304347826087,1.5,1.326086956521739,0.2222222222222222
Serbia and Montenegro,0,0,2,-2.104691594203555,0.8614511784879679,0.446,Emerging Teams,0.0,0.6666666666666666,3.3333333333333335,0.0
Slovakia,0,0,3,-0.18124753615537845,-0.29506016757976405,0.536,Strong Nations,0.25,1.25,1.75,0.0
Slovenia,0,0,3,-0.8064550163400138,-0.5653174015033834,0.602,Strong Nations,0.16666666666666666,0.8333333333333334,1.6666666666666667,0.0
South Africa,0,0,3,-0.3001698568269008,-0.2936104110282057,0.531,Strong Nations,0.2222222222222222,1.2222222222222223,1.7777777777777777,0.0
Spain,1,1,1,2.0606016245063907,0.04694905826951878,0.992,Elite Contenders,0.47761194029850745,1.6119402985074627,1.1194029850746268,0.47058823529411764
Sweden,0,0,1,1.7096039990494338,0.3233297135928453,0.859,Elite Contenders,0.39215686274509803,1.5686274509803921,1.4313725490196079,0.5
Switzerland,0,0,1,0.5398621324807668,0.08115720520427239,0.727,Elite Contenders,0.34146341463414637,1.3414634146341464,1.7804878048780488,0.18181818181818182
